#Organism/Name,Strain,CladeID,BioSample,BioProject,Group,SubGroup,Assembly,Size (Mb),GC%,Replicons,WGS,Scaffolds,Genes,Proteins,Release Date,Modify Date,Level,RefSeq FTP,GenBank FTP
Actinomyces oris,T14V,20937,SAMN04435864 ,PRJNA282954,Terrabacteria group,Actinobacteria,GCA_001553935.1 ,3.04292,68.5,chromosome:NZ_CP014232.1/CP014232.1,-,1,2516,2393,2/9/2016,4/4/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/553/935/GCF_001553935.1_ASM155393v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/553/935/GCA_001553935.1_ASM155393v1
Actinomyces naeslundii,ATCC 27039,20937,SAMD00064391 ,PRJDB5207,Terrabacteria group,Actinobacteria,GCA_002355915.1 ,3.04045,68.4,chromosome:AP017894.1,-,1,3289,3229,10/26/2016,10/26/2016,Complete Genome,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/355/915/GCA_002355915.1_ASM235591v1
Actinomyces sp. oral taxon 414,F0588,23698,SAMN04009745 ,PRJNA282954,Terrabacteria group,Actinobacteria,GCA_001278845.1 ,3.83642,71.9,chromosome:NZ_CP012590.1/CP012590.1,-,1,3102,2901,9/4/2015,4/16/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/278/845/GCF_001278845.1_ASM127884v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/278/845/GCA_001278845.1_ASM127884v1
Actinomyces meyeri,W712,21787,SAMN03704036 ,PRJNA282954,Terrabacteria group,Actinobacteria,GCA_001262055.1 ,2.04909,65.5,chromosome:NZ_CP012072.1/CP012072.1,-,1,1804,1700,8/6/2015,4/10/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/262/055/GCF_001262055.1_ASM126205v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/262/055/GCA_001262055.1_ASM126205v1
Actinomyces radicidentis,CCUG 36733,51134,SAMN04435863 ,PRJNA282954,Terrabacteria group,Actinobacteria,GCA_001553565.1 ,3.05161,72.6,chromosome:NZ_CP014228.1/CP014228.1,-,1,2604,2437,2/9/2016,4/17/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/553/565/GCF_001553565.1_ASM155356v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/553/565/GCA_001553565.1_ASM155356v1
Actinomyces gaoshouyii,pika_114,21414,SAMN06640690 ,PRJNA380331,Terrabacteria group,Actinobacteria,GCA_002076915.1 ,2.35936,71.1,chromosome:NZ_CP020468.1/CP020468.1,-,1,1997,1887,4/3/2017,4/5/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/076/915/GCF_002076915.1_ASM207691v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/076/915/GCA_002076915.1_ASM207691v1
Actinomyces sp. VUL4_3,VUL4_3,52748,SAMN05938308 ,PRJNA350350,Terrabacteria group,Actinobacteria,GCA_001856685.1 ,2.20783,51.9,chromosome:NZ_CP017812.1/CP017812.1,-,1,1818,1740,10/31/2016,4/13/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/856/685/GCF_001856685.1_ASM185668v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/856/685/GCA_001856685.1_ASM185668v1
Actinomyces sp. Chiba101,Chiba101,21414,SAMD00059583 ,PRJDB5147,Terrabacteria group,Actinobacteria,GCA_002356195.1 ,2.87786,71.3,chromosome:NZ_AP017896.1/AP017896.1,-,1,2375,2229,2/2/2017,9/27/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/356/195/GCF_002356195.1_ASM235619v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/356/195/GCA_002356195.1_ASM235619v1
Actinomyces sp. Marseille-P2985,Marseille-P2985,21416,SAMEA4555081 ,PRJEB17949,Terrabacteria group,Actinobacteria,GCA_900120245.1 ,1.89255,57,chromosome contig00001:NZ_LT635457.1/LT635457.1,-,1,1674,1581,11/23/2016,4/14/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/120/245/GCF_900120245.1_PRJEB17949,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/120/245/GCA_900120245.1_PRJEB17949
Rothia mucilaginosa DY-18,DY-18,20957,SAMD00060968 ,PRJDA38547,Terrabacteria group,Actinobacteria,GCA_000011025.1 ,2.2646,59.6,chromosome:NC_013715.1/AP011540.1,-,1,1774,1703,1/6/2010,4/10/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/025/GCF_000011025.1_ASM1102v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/025/GCA_000011025.1_ASM1102v1
